M 1	6.3 (kly)
M 2	37.5 (kly)
M 3	33.9 (kly)
M 4	7.2 (kly)
M 5	24.5 (kly)
M 6	1.6 (kly)
M 7	0.8 (kly)
M 8	5.2 (kly)
M 9	25.8 (kly)
M 10	14.3 (kly)
M 11	6.0 (kly)
M 12	16.0 (kly)
M 13	25.1 (kly)
M 14	30.3 (kly)
M 15	33.6 (kly)
M 16	7.0 (kly)
M 17	5.0 (kly)
M 18	4.9 (kly)
M 19	28.0 (kly)
M 20	5.2 (kly)
M 21	4.25 (kly)
M 22	10.4 (kly)
M 23	2.15 (kly)
M 24	10.0 (kly)
M 25	2.0 (kly)
M 26	5.0 (kly)
M 27	1.25 (kly)
M 28	18.3 (kly)
M 29	4.0 (kly)
M 30	26.1 (kly)
M 31	2900 (kly)
M 32	2900 (kly)
M 33	3000 (kly)
M 34	1.4 (kly)
M 35	2.8 (kly)
M 36	4.1 (kly)
M 37	4.4 (kly)
M 38	4.2 (kly)
M 39	0.825 (kly)
M 40	0.51 (kly)
M 41	2.3 (kly)
M 42	1.3 (kly)
M 43	1.3 (kly)
M 44	0.577 (kly)
M 45	0.44 (kly)
M 46	5.4 (kly)
M 47	1.6 (kly)
M 48	1.5 (kly)
M 49	60000 (kly)
M 50	3.2 (kly)
M 51	37000 (kly)
M 52	5.0 (kly)
M 53	58.0 (kly)
M 54	87.4 (kly)
M 55	17.3 (kly)
M 56	32.9 (kly)
M 57	2.3 (kly)
M 58	60000 (kly)
M 59	60000 (kly)
M 60	60000 (kly)
M 61	60000 (kly)
M 62	22.5 (kly)
M 63	37000 (kly)
M 64	19000 (kly)
M 65	35000 (kly)
M 66	35000 (kly)
M 67	2.7 (kly)
M 68	33.3 (kly)
M 69	29.7 (kly)
M 70	29.3 (kly)
M 71	13.0 (kly)
M 72	55.4 (kly)
M 73	2.5 (kly)
M 74	35000 (kly)
M 75	67.5 (kly)
M 76	3.4 (kly)
M 77	60000 (kly)
M 78	1.6 (kly)
M 79	42.1 (kly)
M 80	32.6 (kly)
M 81	12000 (kly)
M 82	12000 (kly)
M 83	15000 (kly)
M 84	60000 (kly)
M 85	60000 (kly)
M 86	60000 (kly)
M 87	60000 (kly)
M 88	60000 (kly)
M 89	60000 (kly)
M 90	60000 (kly)
M 91	60000 (kly)
M 92	26.7 (kly)
M 93	3.6 (kly)
M 94	14500 (kly)
M 95	38000 (kly)
M 96	38000 (kly)
M 97	2.6 (kly)
M 98	60000 (kly)
M 99	60000 (kly)
M 100	60000 (kly)
M 101	27000 (kly)
M 103	8.5 (kly)
M 104	50000 (kly)
M 105	38000 (kly)
M 106	25000 (kly)
M 107	20.9 (kly)
M 108	45000 (kly)
M 109	55000 (kly)
M 110	2900 (kly)
